               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.036917,            0.013894,           0.0021239,             0.85449,             0.75339,              0.8422,             0.39428,            0.041066,              0.0103,           0.0011996,           0.0069805,           0.0069805,           0.0069805
                  63,            0.036354,            0.013313,           0.0029813,             0.79957,             0.76049,             0.80492,              0.3877,            0.042185,            0.010547,           0.0014261,            0.006931,            0.006931,            0.006931
                  64,            0.036963,            0.013409,           0.0029835,             0.83085,             0.78089,             0.85968,             0.40203,            0.040341,            0.010595,           0.0032787,           0.0068815,           0.0068815,           0.0068815
                  65,            0.035751,             0.01291,            0.002794,             0.85842,             0.71063,             0.82374,             0.37966,            0.041166,            0.010486,           0.0041107,            0.006832,            0.006832,            0.006832
                  66,            0.036453,            0.013003,           0.0027724,             0.86827,              0.7354,             0.84134,             0.39869,            0.041105,            0.010245,           0.0015768,           0.0067825,           0.0067825,           0.0067825
                  67,            0.035568,            0.012988,           0.0023584,              0.7926,             0.79497,             0.83412,             0.39795,            0.039626,            0.010633,          0.00075813,            0.006733,            0.006733,            0.006733
                  68,            0.035852,            0.012144,           0.0020922,             0.77932,             0.79518,             0.84997,             0.38055,            0.040673,            0.010365,           0.0023069,           0.0066835,           0.0066835,           0.0066835
                  69,            0.035669,            0.012339,           0.0023011,              0.8892,             0.74665,             0.85643,              0.4081,            0.039736,            0.010055,           0.0016568,            0.006634,            0.006634,            0.006634
                  70,            0.035549,            0.012847,           0.0024821,             0.76839,             0.81495,             0.84891,             0.40483,            0.040865,           0.0099888,            0.001421,           0.0065845,           0.0065845,           0.0065845
                  71,            0.035319,            0.012141,           0.0027031,              0.8791,             0.76837,             0.84971,             0.39722,              0.0397,            0.010206,           0.0010534,            0.006535,            0.006535,            0.006535
                  72,            0.035155,            0.013053,           0.0024325,             0.92049,             0.80543,             0.90196,             0.42564,            0.038641,           0.0097219,          0.00072917,           0.0064855,           0.0064855,           0.0064855
                  73,            0.034358,            0.012628,           0.0024006,             0.86852,             0.74051,             0.85878,             0.42107,            0.040063,           0.0098512,           0.0018541,            0.006436,            0.006436,            0.006436
                  74,            0.034483,            0.012092,           0.0022269,             0.84092,             0.71441,             0.84271,             0.39541,             0.04094,           0.0099429,           0.0031478,           0.0063865,           0.0063865,           0.0063865
                  75,            0.034454,            0.012318,           0.0021282,             0.88578,             0.74825,             0.85197,             0.43116,            0.039426,            0.010026,           0.0019057,            0.006337,            0.006337,            0.006337
                  76,             0.03438,            0.011878,           0.0022643,             0.85807,             0.81558,             0.86519,             0.41251,            0.037709,             0.01013,            0.001506,           0.0062875,           0.0062875,           0.0062875
                  77,            0.034498,            0.012208,           0.0026071,             0.78249,             0.77186,             0.83777,              0.4361,            0.038803,            0.010205,           0.0021477,            0.006238,            0.006238,            0.006238
                  78,            0.034407,            0.012123,           0.0027171,             0.77561,             0.81235,              0.8621,             0.43792,            0.037926,           0.0099088,           0.0021609,           0.0061885,           0.0061885,           0.0061885
                  79,            0.034868,            0.012624,           0.0024597,             0.88154,             0.79138,             0.88304,             0.41896,            0.039597,            0.009757,           0.0028483,            0.006139,            0.006139,            0.006139
                  80,            0.033479,            0.011965,           0.0016677,             0.77589,             0.82984,             0.85534,             0.40675,            0.040404,            0.010244,           0.0017518,           0.0060895,           0.0060895,           0.0060895
                  81,            0.033567,            0.012495,           0.0020191,             0.93034,             0.76856,             0.87795,             0.42111,            0.038589,            0.010022,           0.0016198,             0.00604,             0.00604,             0.00604
                  82,            0.033371,            0.011614,           0.0019348,             0.88869,             0.73525,             0.84053,             0.41706,            0.037774,           0.0098468,           0.0018482,           0.0059905,           0.0059905,           0.0059905
                  83,            0.033579,            0.011908,            0.002449,             0.86755,             0.74068,             0.82834,             0.40149,            0.039617,            0.010443,           0.0018583,            0.005941,            0.005941,            0.005941
                  84,            0.033108,            0.011593,           0.0021654,             0.83762,             0.72892,             0.79646,             0.40131,            0.040268,            0.010003,          0.00050228,           0.0058915,           0.0058915,           0.0058915
                  85,            0.033088,            0.011986,           0.0021682,             0.90195,              0.7535,             0.83377,             0.39822,            0.039411,            0.010398,          0.00082632,            0.005842,            0.005842,            0.005842
                  86,            0.033438,            0.011926,           0.0019403,             0.85667,              0.7331,             0.84173,             0.42022,            0.038392,            0.010185,           0.0010699,           0.0057925,           0.0057925,           0.0057925
                  87,            0.032259,            0.011714,           0.0021879,              0.8287,             0.78233,             0.83753,             0.41879,            0.038595,           0.0099847,           0.0036483,            0.005743,            0.005743,            0.005743
